,ensembl_gene_id,id,DL_OR
0,ENSMUSG00000059069,Olfr749,OR11H4
1,ENSMUSG00000053815,Olfr744,OR11G2
2,ENSMUSG00000075200,Olfr1044,OR8U9
3,ENSMUSG00000049528,Olfr429,OR6N1
4,ENSMUSG00000050028,Olfr745,OR11H6
5,ENSMUSG00000062782,Olfr527,OR12J2
6,ENSMUSG00000050813,Olfr332,OR2AV9
7,ENSMUSG00000036658,Olfr11,OR2B6
8,ENSMUSG00000075427,Olfr288,OR10AD1C
9,ENSMUSG00000108167,Olfr1386,OR2Y1C
10,ENSMUSG00000043698,Olfr62,OR13P10
11,ENSMUSG00000073975,Olfr550,OR51R1
12,ENSMUSG00000061195,Olfr1289,OR4F4B
13,ENSMUSG00000054141,Olfr24,OR1M1
14,ENSMUSG00000059610,Olfr222,OR2B11
15,ENSMUSG00000094819,Olfr53,OR13A20
16,ENSMUSG00000054406,Olfr411,OR3A1D
17,ENSMUSG00000063583,Olfr1410,OR9S14
18,ENSMUSG00000111259,Olfr1328,OR10AK7
19,ENSMUSG00000056961,Olfr919,OR8G51
20,ENSMUSG00000075064,Olfr1506,OR4X15
21,ENSMUSG00000075091,Olfr1233,OR4C125
22,ENSMUSG00000061549,Olfr301,OR14C44
23,ENSMUSG00000051180,Olfr522,OR6AE1
24,ENSMUSG00000068574,Olfr458,OR2R11
25,ENSMUSG00000051200,Olfr513,OR5E1
26,ENSMUSG00000062497,Olfr1411,OR9S15
27,ENSMUSG00000109058,Olfr705,OR2AG1
28,ENSMUSG00000049618,Olfr103,OR12D13
29,ENSMUSG00000045479,Olfr459,OR9A2
30,ENSMUSG00000095236,Olfr38,OR2F1B
31,ENSMUSG00000050134,Olfr430,OR6N2
32,ENSMUSG00000070311,Olfr894,OR8C16
33,ENSMUSG00000044923,Olfr1030,OR5M5
34,ENSMUSG00000067528,Olfr1424,OR4D10B
35,ENSMUSG00000095809,Olfr1290,OR4K42
36,ENSMUSG00000095910,Olfr469,OR5P50
37,ENSMUSG00000059429,Olfr365,OR1L4
38,ENSMUSG00000075114,Olfr1208,OR4P8
