sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
RhopCI,06212023,10000,73.4,92.7,68.1,0,0,0.0,0.0,0.0,0.0,0.0,0,,,,
Olfr1377,06212023,10000,155.0,68.5,136.0,500,0,0.0,0.0,0.0,0.0,0.0,500,,,,
Olfr1377_Gfy,06212023,10000,149.0,65.6,133.0,500,0,300.0,0.0,0.0,0.0,0.0,800,,,,
Olfr1377_Clgn,06212023,10000,143.0,72.7,122.0,500,0,0.0,66.0,0.0,0.0,0.0,566,,,,
Olfr1377_Syt1,06212023,10000,156.0,72.8,134.0,500,0,0.0,0.0,300.0,0.0,0.0,800,,,,
Olfr1377_Syt5,06212023,10000,167.0,70.3,142.0,500,0,0.0,0.0,0.0,66.0,0.0,566,,,,
Olfr1377_Gfy_Clgn,06212023,10000,142.0,73.0,123.0,500,0,300.0,66.0,0.0,0.0,0.0,866,,,,
Olfr1377_Syt1_Syt5,06212023,10000,149.0,71.8,127.0,500,0,0.0,0.0,300.0,66.0,0.0,866,,,,
Olfr1377_Gfy_Clgn_Syt1_Syt5,06212023,10000,160.0,68.6,140.0,500,0,300.0,66.0,300.0,66.0,0.0,1233,,,,
Olfr1377_R,06212023,10000,1029.0,84.9,1046.0,500,100,0.0,0.0,0.0,0.0,0.0,600,,,,
Olfr1377_R_Syt1,06212023,10000,1162.0,86.2,1202.0,500,100,0.0,0.0,300.0,0.0,0.0,900,,,,
Olfr1377_R_Syt5,06212023,10000,1011.0,84.2,1018.0,500,100,0.0,0.0,0.0,66.0,0.0,666,,,,
Olfr1377_R_Syt1_Syt5,06212023,10000,1206.0,87.2,1270.0,500,100,0.0,0.0,300.0,66.0,0.0,966,,,,
Olfr1377_R_Gfy,06212023,10011,1125.0,87.8,1188.0,500,100,300.0,0.0,0.0,0.0,0.0,900,,,,
Olfr1377_R_Clgn,06212023,10000,992.0,87.8,996.0,500,100,0.0,66.0,0.0,0.0,0.0,666,,,,
Olfr1377_RGC,06212023,10000,1058.0,82.1,1091.0,500,100,300.0,66.0,0.0,0.0,0.0,966,,,,
Olfr1377_RGC_Syt1,06212023,10000,1120.0,83.6,1138.0,500,100,300.0,66.0,300.0,0.0,0.0,1266,,,,
Olfr1377_RGC_Syt5,06212023,10000,1041.0,81.4,1053.0,500,100,300.0,66.0,0.0,66.0,0.0,1033,,,,
Olfr1377_RGC_Syt1_Syt5,06212023,10000,1143.0,87.4,1170.0,500,100,300.0,66.0,300.0,66.0,0.0,1333,,,,
RhopCI,03152023,10000,93.1,72.0,88.7,0,0,0.0,0.0,0.0,0.0,2000.0,2000,0.0,0.0,,
Olfr1377,03152023,10000,193.0,61.9,175.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,0.0,0.0,,
Olfr1377_RGC,03152023,10000,1595.0,85.0,1881.0,1000,100,150.0,150.0,0.0,0.0,600.0,2000,0.0,0.0,,
Olfr1377_RGC_Chgb_2,03152023,10000,1494.0,83.1,1725.0,1000,100,150.0,150.0,0.0,0.0,0.0,2000,600.0,0.0,,
Olfr1377_RGC_Chgb_6,03152023,10000,1517.0,82.1,1777.0,1000,100,150.0,150.0,0.0,0.0,0.0,2000,600.0,0.0,,
Olfr1377_RGC_Syt1,03152023,10000,1732.0,85.4,2068.0,1000,100,150.0,150.0,300.0,0.0,300.0,2000,0.0,0.0,,
Olfr1377_RGC_Syt1_InteractionMix1,03152023,10000,1629.0,92.3,1924.0,1000,100,150.0,150.0,300.0,0.0,0.0,2000,0.0,300.0,,
Olfr1377_RGC_Syt1_InteractionMix2,03152023,10000,1639.0,90.2,1910.0,1000,100,150.0,150.0,300.0,0.0,0.0,2000,0.0,300.0,,
Olfr1377_RGC_Syt1_Syt5,03152023,10000,1833.0,94.1,2240.0,1000,100,150.0,150.0,300.0,300.0,0.0,2000,0.0,0.0,,
Olfr1377_RGC_Syt9,03152023,10000,1178.0,104.0,1206.0,1000,100,150.0,150.0,0.0,0.0,0.0,2000,600.0,0.0,,
Olfr1377_RGC_Esyt2,03152023,10000,1445.0,85.7,1658.0,1000,100,150.0,150.0,0.0,0.0,0.0,2000,600.0,0.0,,
OR7C1_wt,03152023,10000,116.0,67.8,103.0,1000,0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,,
OR7C1_wt_Rtp1,03152023,10000,158.0,59.5,143.0,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
OR7C1_gen1,03152023,10000,106.0,72.9,93.8,1000,0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,,
OR7C1_gen1_Rtp1,03152023,10000,292.0,66.1,261.0,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
OR7C1_gen2,03152023,10000,176.0,62.0,161.0,1000,0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,,
OR7C1_gen2_Rtp1,03152023,10000,536.0,67.7,502.0,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
OR5A2_wt,03152023,10000,98.3,71.7,89.9,1000,0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,,
OR5A2_wt_Rtp1,03152023,10000,100.0,72.1,91.2,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
OR5A2_gen1,03152023,10000,108.0,69.4,97.7,1000,0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,,
OR5A2_gen1_Rtp1,03152023,10000,191.0,70.5,166.0,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
RhopCI,10052022,10070,62.7,130.0,55.2,0,0,0.0,0.0,,,0.0,0,,0.0,,
Olfr1377,10052022,10033,119.0,88.3,95.1,1000,0,0.0,0.0,,,0.0,1000,,0.0,,
Olfr1377_R,10052022,10000,962.0,100.0,875.0,1000,100,0.0,0.0,,,0.0,1100,,0.0,,
Olfr1377_RGC,10052022,10000,958.0,95.6,873.0,1000,100,150.0,150.0,,,600.0,2000,,0.0,,
Olfr1377_RGC_21MIX,10052022,10000,1358.0,82.4,1397.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Rtbdn,10052022,10000,1324.0,82.9,1366.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Ebf4,10052022,10000,1462.0,82.0,1547.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Lingo2,10052022,10000,1592.0,79.0,1693.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Flrt1,10052022,10000,1459.0,82.2,1535.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
