Sample_name,Count,GeoMean,Rcv,Median,exp_date,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,others,tube,Total,pCI,gene-mix,Rho ,Syt_genes,1-Antibody,tubes,total,RTP2
RhopCI,10003.0,110.0,69.6,107.0,01182023_Lu,1000.0,,,,,,,FACS_Tube_004_Rho pCI.fcs,0.0,,,,,,,,
Olfr1377,10000.0,171.0,63.7,158.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_005_Olfr1377.fcs,1100.0,,,,,,,,
Olfr1377+R,10000.0,944.0,81.7,920.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_006_Olfr1377_R.fcs,1100.0,,,,,,,,
Olfr1377+RGC,10054.0,1123.0,81.1,1136.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_007_Olfr1377_RGC.fcs,1100.0,,,,,,,,
Olfr1377+RGC+28MIX,10000.0,1059.0,85.2,1069.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_008_Olfr1377_RGC_28MIX .fcs,1100.0,,,,,,,,
Olfr1377+RGC+28MIX,10000.0,1051.0,83.2,1063.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_009_Olfr1377_RGC_28MIX .fcs,1100.0,,,,,,,,
Olfr1377+RGC+28MIX,10000.0,813.0,92.5,760.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_010_Olfr1377_RGC_28MIX .fcs,1100.0,,,,,,,,
Olfr1377+RGC+Trarg1,10000.0,1137.0,72.9,1161.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_011_Olfr1377_RGC_ Trarg1.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Faim2,10000.0,376.0,96.0,286.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_012_Olfr1377_RGC_ Faim2.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ephx4,10000.0,1128.0,74.9,1163.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_013_Olfr1377_RGC_ Ephx4.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Serpine2,10000.0,1203.0,77.3,1239.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_014_Olfr1377_RGC_ Serpine2.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3-1,10000.0,1310.0,72.8,1426.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_015_Olfr1377_RGC_ Ddit3-1.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3-2,10000.0,1198.0,74.9,1285.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_016_Olfr1377_RGC_ Ddit3-2.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Tenm4,10015.0,1206.0,78.1,1242.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_017_Olfr1377_RGC_ Tenm4.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Syt5,10022.0,1709.0,84.8,1867.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_018_Olfr1377_RGC_ Syt5.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3-1+Ddit3-2,10000.0,1038.0,76.0,1055.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_019_Olfr1377_RGC_ Ddit3-1_Ddit3-2.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3-1+Tenm4+Ephx4+Rtp2,10019.0,611.0,110.0,499.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_020_Olfr1377_RGC_ Ddit3_Tenm4_Ephx4_Rtp2.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3+Tenm4,10000.0,1079.0,79.1,1093.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_021_Olfr1377_RGC_ Ddit3_Tenm4.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3+Ephx4,10000.0,1068.0,73.9,1108.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_022_Olfr1377_RGC_ Ddit3_Ephx4.fcs,1100.0,,,,,,,,
Olfr1377+RGC+Ddit3+Rtp2,10000.0,675.0,111.0,556.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_023_Olfr1377_RGC_ Ddit3_Rtp2 .fcs,1100.0,,,,,,,,
Olfr1377+RGC+Rtp2,10000.0,269.0,84.0,203.0,01182023_Lu,1000.0,100.0,,,,,,FACS_Tube_024_Olfr1377_RGC_ Rtp2.fcs,1100.0,,,,,,,,
RhopCI,10000.0,51.7,152.0,51.4,07122022_Lu,1000.0,,,,,,,FACS_Tube_004_RhopCI.fcs,0.0,,,,,,,,
ORS6,10000.0,144.0,93.1,116.0,07122022_Lu,1000.0,,,,,,,FACS_Tube_005_ORS6.fcs,1000.0,,,,,,,,
