,tube,Count,name,Geometric Mean (Comp-PE-A :: null),exp_date,Robust CV (Comp-PE-A :: null),Median (Comp-PE-A :: null)
0,FACS_Tube_004_Rho pCI.fcs,10003,Rho pCI,110,01182023_Lu,69.6,107
1,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,171,01182023_Lu,63.7,158
2,FACS_Tube_006_Olfr1377_R.fcs,10000,Olfr1377_R,944,01182023_Lu,81.7,920
3,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,91.8,01202023_Lu,84.1,91.2
4,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,166,01202023_Lu,65.5,152
5,FACS_Tube_007_Olfr1377_R.fcs,10000,Olfr1377_R,755,01202023_Lu,85.5,677
6,FACS_Tube_004_Rho pCI.fcs,10051,Rho pCI,86.7,02032023_Lu,78.3,84.8
7,FACS_Tube_005_Olfr1377.fcs,10042,Olfr1377,159,02032023_Lu,66,143
8,FACS_Tube_004_Rho pCI.fcs,10011,Rho pCI,77.6,02062023_Lu,85.6,74.5
9,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,159,02062023_Lu,63.5,146
10,FACS_Tube_007_Olfr1377_R.fcs,10000,Olfr1377_R,1476,02062023_Lu,83.9,1696
11,FACS_Tube_008_Olfr1377_R_Syt1.fcs,10000,Olfr1377_R_Syt1,1696,02062023_Lu,85.3,1994
12,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,148,02152023_Lu,69.3,127
13,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,219,02152023_Lu,57,198
14,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,93.1,03152023_Lu,72,88.7
15,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,193,03152023_Lu,61.9,175
16,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,103,03222023_Lu,73,96.4
17,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,216,03222023_Lu,61.8,194
19,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,137,03292023_Lu,60.5,127
20,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,296,03292023_Lu,71.6,240
21,FACS_Tube_006_Olfr1377_Rtp1s.fcs,10000,Olfr1377_Rtp1s,1405,03292023_Lu,69.4,1467
22,FACS_Tube_005_Rho-pCI.fcs,10000,Rho-pCI,147,03312023_Lu,59.5,135
23,FACS_Tube_013_Olfr1377.fcs,10000,Olfr1377,239,03312023_Lu,62,208
24,FACS_Tube_014_Olfr1377_Rtp1s.fcs,10000,Olfr1377_Rtp1s,1314,03312023_Lu,90.8,1363
25,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,131,04012023_Lu,62.4,123
26,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,261,04012023_Lu,62.9,226
27,FACS_Tube_006_Olfr1377_Rtp1s.fcs,10000,Olfr1377_Rtp1s,1643,04012023_Lu,77.7,1822
39,FACS_Tube_004_RhopCI.fcs,10000,RhopCI,74.7,06022022_Lu,86.3,69.4
40,FACS_Tube_014_Olfr1377.fcs,10000,Olfr1377,1121,06022022_Lu,67.9,1183
41,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,148,06032023_Lu,59,136
